datetime,open,high,low,close,volume
2025-07-05 06:30:00,108220.7,108302.9,108191.4,108209.8,35.164543
2025-07-05 06:45:00,108209.8,108300.4,108209.8,108280.5,12.493081
2025-07-05 07:00:00,108280.5,108280.6,108138.5,108154.1,19.438498
2025-07-05 07:15:00,108154.1,108157.9,108096.0,108149.9,22.069493
2025-07-05 07:30:00,108149.9,108150.0,108028.3,108043.1,41.140924
2025-07-05 07:45:00,108043.1,108057.2,107997.0,108057.1,44.139192
2025-07-05 08:00:00,108057.1,108115.5,108001.9,108115.5,31.200409
2025-07-05 08:15:00,108115.5,108122.6,108040.8,108045.6,27.78055
2025-07-05 08:30:00,108045.6,108045.7,107925.0,107967.4,28.696563
2025-07-05 08:45:00,107967.4,108027.6,107928.0,108020.8,16.195268
2025-07-05 09:00:00,108020.8,108020.9,107900.1,107936.3,23.618444
2025-07-05 09:15:00,107936.3,107936.3,107869.5,107922.2,40.80012
2025-07-05 09:30:00,107922.2,107980.0,107886.1,107949.0,29.303917
2025-07-05 09:45:00,107949.0,108126.9,107948.9,108081.3,33.13818
2025-07-05 10:00:00,108081.3,108114.7,108054.4,108078.3,16.798192
2025-07-05 10:15:00,108078.3,108129.0,108053.2,108125.3,18.057952
2025-07-05 10:30:00,108125.3,108210.4,108125.3,108146.2,23.584498
2025-07-05 10:45:00,108146.2,108187.0,108081.2,108083.3,22.253276
2025-07-05 11:00:00,108083.3,108148.8,108083.3,108115.1,17.124681
2025-07-05 11:15:00,108115.1,108176.2,108115.1,108157.6,13.109482
2025-07-05 11:30:00,108157.6,108220.6,108157.6,108208.2,18.822379
2025-07-05 11:45:00,108208.2,108212.6,108098.9,108102.2,16.849007
2025-07-05 12:00:00,108102.2,108116.1,107991.6,108047.8,24.770861
2025-07-05 12:15:00,108047.8,108069.3,107990.6,108019.3,15.003046
2025-07-05 12:30:00,108019.3,108085.5,107956.7,108081.3,17.844346
2025-07-05 12:45:00,108081.3,108154.9,108080.7,108151.6,11.589679
2025-07-05 13:00:00,108151.6,108193.5,108116.6,108130.0,14.99184
2025-07-05 13:15:00,108130.0,108234.8,108121.9,108201.4,22.589929
2025-07-05 13:30:00,108201.4,108201.4,108104.2,108182.9,11.866968
2025-07-05 13:45:00,108182.9,108183.0,108111.0,108127.1,15.719001
2025-07-05 14:00:00,108127.1,108194.1,108100.2,108163.5,34.491933
2025-07-05 14:15:00,108163.5,108235.0,108149.7,108189.2,21.719122
2025-07-05 14:30:00,108189.2,108207.9,108139.1,108172.6,14.797683
2025-07-05 14:45:00,108172.6,108202.1,108135.1,108202.1,11.357037
2025-07-05 15:00:00,108202.1,108202.1,108172.9,108176.6,17.112858
2025-07-05 15:15:00,108176.6,108176.7,108119.9,108119.9,13.63342
2025-07-05 15:30:00,108119.9,108140.2,108080.2,108083.8,11.277715
2025-07-05 15:45:00,108083.8,108097.8,108059.8,108071.2,26.181838
2025-07-05 16:00:00,108071.2,108106.9,108012.6,108059.3,18.781711
2025-07-05 16:15:00,108059.3,108106.5,107967.7,107974.8,17.770955
2025-07-05 16:30:00,107974.8,107995.7,107867.9,107950.5,34.050824
2025-07-05 16:45:00,107950.5,108114.0,107901.4,108104.7,42.211014
2025-07-05 17:00:00,108104.7,108164.5,108003.3,108018.0,27.365748
2025-07-05 17:15:00,108018.0,108047.4,107938.8,108007.4,19.493727
2025-07-05 17:30:00,108007.4,108096.0,107971.2,108071.2,11.753458
2025-07-05 17:45:00,108071.2,108096.2,108027.0,108090.1,11.858229
2025-07-05 18:00:00,108090.1,108103.2,108004.5,108017.9,12.622842
2025-07-05 18:15:00,108017.9,108048.0,107968.3,107976.6,16.610682
2025-07-05 18:30:00,107976.6,108026.1,107963.3,108015.1,17.983528
2025-07-05 18:45:00,108015.1,108035.0,107978.7,107990.1,12.534
2025-07-05 19:00:00,107990.1,108004.8,107950.6,107950.6,12.713422
2025-07-05 19:15:00,107950.6,108042.1,107950.0,108042.1,12.956385
